result_row,dataset,method,alpha,seed,target_epsilon,prediction_path,selection_data,variant,threshold,auc,auprc,f1,precision,recall,balanced_accuracy,brier,ece_10
0,default_credit_card_clients,dp_uniform,0.5,42,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed42.csv,validation_only,raw_fixed_0p5,0.5,0.6016130923190526,0.35071984253522426,0.0,0.0,0.0,0.5,0.21525497922033301,0.21131584785500657
0,default_credit_card_clients,dp_uniform,0.5,42,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed42.csv,validation_only,raw_validation_f1,0.0103940455800522,0.6016130923190526,0.35071984253522426,0.3619371282922685,0.28992740471869327,0.48153730218538054,0.5733173350216438,0.21525497922033301,0.21131584785500657
0,default_credit_card_clients,dp_uniform,0.5,42,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed42.csv,validation_only,platt_fixed_0p5,0.5,0.6016130923190526,0.35071984253522426,0.0,0.0,0.0,0.5,0.16859457980733983,0.05412833830480442
0,default_credit_card_clients,dp_uniform,0.5,42,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed42.csv,validation_only,platt_validation_f1,0.248158755382125,0.6016130923190526,0.35071984253522426,0.3619371282922685,0.28992740471869327,0.48153730218538054,0.5733173350216438,0.16859457980733983,0.05412833830480442
1,default_credit_card_clients,scheduler,0.5,42,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed42.csv,validation_only,raw_fixed_0p5,0.5,0.6054416245193773,0.355251406526113,0.0,0.0,0.0,0.5,0.21531434319915607,0.21146930498865935
1,default_credit_card_clients,scheduler,0.5,42,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed42.csv,validation_only,raw_validation_f1,0.0118946915314853,0.6054416245193773,0.355251406526113,0.36599241466498106,0.3151878062057703,0.43632253202712884,0.5835582272804165,0.21531434319915607,0.21146930498865935
1,default_credit_card_clients,scheduler,0.5,42,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed42.csv,validation_only,platt_fixed_0p5,0.5,0.6054416245193773,0.355251406526113,0.0,0.0,0.0,0.5,0.1682097992306188,0.05593716161271947
1,default_credit_card_clients,scheduler,0.5,42,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed42.csv,validation_only,platt_validation_f1,0.2574207404444337,0.6054416245193773,0.355251406526113,0.36599241466498106,0.3151878062057703,0.43632253202712884,0.5835582272804165,0.1682097992306188,0.05593716161271947
2,default_credit_card_clients,full_ha_dp,0.5,42,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed42.csv,validation_only,raw_fixed_0p5,0.5,0.6465197705364123,0.41695742489880866,0.0,0.0,0.0,0.5,0.19442083008778857,0.17810286677213136
2,default_credit_card_clients,full_ha_dp,0.5,42,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed42.csv,validation_only,raw_validation_f1,0.0706305026447251,0.6465197705364123,0.41695742489880866,0.4322893692104102,0.5212765957446809,0.36925395629238883,0.6364780374228903,0.19442083008778857,0.17810286677213136
2,default_credit_card_clients,full_ha_dp,0.5,42,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed42.csv,validation_only,platt_fixed_0p5,0.5,0.6465197705364123,0.41695742489880866,0.0030097817908201654,1.0,0.0015071590052750565,0.5007535795026375,0.16208013736185453,0.07006138895059473
2,default_credit_card_clients,full_ha_dp,0.5,42,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed42.csv,validation_only,platt_validation_f1,0.30024675424323927,0.6465197705364123,0.41695742489880866,0.4322893692104102,0.5212765957446809,0.36925395629238883,0.6364780374228903,0.16208013736185453,0.07006138895059473
3,default_credit_card_clients,dp_uniform,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed123.csv,validation_only,raw_fixed_0p5,0.5,0.625701108727831,0.3873698929123325,0.0,0.0,0.0,0.5,0.16709911617363055,0.007456299685115276
3,default_credit_card_clients,dp_uniform,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed123.csv,validation_only,raw_validation_f1,0.2444992352159997,0.625701108727831,0.3873698929123325,0.39603960396039606,0.40030792917628943,0.3918613413715147,0.6125795044114154,0.16709911617363055,0.007456299685115276
3,default_credit_card_clients,dp_uniform,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed123.csv,validation_only,platt_fixed_0p5,0.5,0.625701108727831,0.3873698929123325,0.033650329188002925,0.575,0.01733232856066315,0.5068472042974512,0.16377449344042103,0.06404523405342614
3,default_credit_card_clients,dp_uniform,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed123.csv,validation_only,platt_validation_f1,0.2852173138760728,0.625701108727831,0.3873698929123325,0.39603960396039606,0.40030792917628943,0.3918613413715147,0.6125795044114154,0.16377449344042103,0.06404523405342614
4,default_credit_card_clients,scheduler,0.5,123,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed123.csv,validation_only,raw_fixed_0p5,0.5,0.620055067906818,0.3790255451280814,0.0,0.0,0.0,0.5,0.1676463072306189,0.01593305362360941
