alpha,comparator,delta_auc,delta_auprc,delta_balanced_accuracy,delta_client_auprc_mean,delta_f1,seed,target_epsilon,v5_variant
0.1,dp_uniform,0.04320519794080735,0.02593476966299718,0.0268302040083076,0.00830617256199917,0.0405779207363729,42,3.0,full_ha_dp
0.1,scheduler,0.04028013870507208,0.02476694352540587,0.028943226097556396,0.00813308653179251,0.045844460979913404,42,3.0,full_ha_dp
0.1,dp_uniform,0.043905077042336704,0.026686115247322284,0.02746759390434328,0.0077953206030959565,0.041990567571962956,42,3.0,ha_uniform
0.1,scheduler,0.04098001780660143,0.025518289109730974,0.029580615993592074,0.007622234572889297,0.04725710781550346,42,3.0,ha_uniform
0.1,dp_uniform,-0.014487416770425643,-0.013927231447589505,-0.005623625338268212,-0.005124406252767055,-0.009868318960423894,73,3.0,full_ha_dp
0.1,scheduler,-0.03958840335806513,-0.04040970792694948,-0.0398359412430529,-0.010715370476260477,-0.06538372924927544,73,3.0,full_ha_dp
0.1,dp_uniform,-0.046099778570508176,-0.05335225403891192,-0.034493315751424225,-0.010390475735268467,-0.05201901241493789,73,3.0,ha_uniform
0.1,scheduler,-0.07120076515814766,-0.07983473051827189,-0.06870563165620891,-0.01598143995876189,-0.10753442270378943,73,3.0,ha_uniform
0.1,dp_uniform,0.045001419916011254,0.03229946567202846,0.03381391698305014,0.0030087767286983147,0.0469509749138316,101,3.0,full_ha_dp
0.1,scheduler,0.03965395655040893,0.02819406078227993,0.02398787241752276,0.002618707439911716,0.029462502816395064,101,3.0,full_ha_dp
0.1,dp_uniform,0.04480717927596689,0.03160215793899113,0.033120730273851096,0.0031098948832531392,0.04570286032159221,101,3.0,ha_uniform
0.1,scheduler,0.03945971591036457,0.027496753049242595,0.023294685708323715,0.0027198255944665406,0.028214388224155673,101,3.0,ha_uniform
0.1,dp_uniform,0.01164597212320262,0.020456040031308187,0.04919698548847451,0.000920935949486057,-0.00016080373406196502,123,3.0,full_ha_dp
0.1,scheduler,-0.010615504966803302,-0.015194549897693477,-0.010555354067063427,-0.0010723839727743156,-0.018298353640121112,123,3.0,full_ha_dp
0.1,dp_uniform,-0.013174337142728976,-0.019932913337966374,-0.010970846810172019,-0.0011087120970530995,-0.004429195079248105,123,3.0,ha_uniform
0.1,scheduler,-0.0354358142327349,-0.05558350326696804,-0.07072318636570996,-0.003102032019313472,-0.022566744985307252,123,3.0,ha_uniform
0.1,dp_uniform,0.006011380937260724,0.010255300823286517,0.006336486068293734,0.005699210545093258,0.011521923102131904,909,3.0,full_ha_dp
0.1,scheduler,-0.0030970456555003967,-0.0010597661780636924,-4.5959802750239476e-06,0.005228955702691995,-1.4772492749504096e-05,909,3.0,full_ha_dp
