alpha,auc_ci95,auc_mean,auc_n,auc_std,auprc_ci95,auprc_mean,auprc_n,auprc_std,balanced_accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_n,balanced_accuracy_std,best_round_ci95,best_round_fraction_mean,best_round_mean,best_round_n,best_round_std,boundary_selection_rate,brier_ci95,brier_mean,brier_n,brier_std,dataset,epsilon_ci95,epsilon_mean,epsilon_n,epsilon_std,f1_ci95,f1_mean,f1_n,f1_std,num_runs,paper_method,sensitivity_rounds,training_time_ci95,training_time_mean,training_time_n,training_time_std
0.1,0.04381256008271372,0.6559135349361425,5,0.03528535911977351,0.06817847478265872,0.4185773349607248,5,0.05490895675584379,0.059631258324119286,0.6171320244519052,5,0.048025277700234445,1.6658670631186792,0.9879999999999999,49.4,5,1.3416407864998738,0.8,0.0012412969700675628,0.2198938923481406,5,0.0009997044062349117,default_credit_card_clients,6.562548345620483e-05,2.999926840768311,5,5.285285193992972e-05,0.0627226943620388,0.4217507628637387,5,0.05051503019558881,5,dp_uniform,50,0.35423337328204135,37.684079551696776,5,0.2852892358919059
0.1,0.05463733314321013,0.670787465584574,5,0.04400331589081294,0.07218928095300106,0.4326486133005319,5,0.058139143163877305,0.053115588955579565,0.6372115720010301,5,0.042777747468250985,1.1105780420791194,0.992,49.6,5,0.8944271909999159,0.8,0.02519378248475432,0.20913028094942182,5,0.020290338224512032,default_credit_card_clients,6.473260309448789e-05,2.999872751373481,5,5.2133752116621144e-05,0.07902658259164301,0.4378384263908721,5,0.06364570665330199,5,full_ha_dp,50,0.2318932882377631,37.77065262794495,5,0.1867600965907265
0.5,0.014772795177186495,0.6608311531991813,5,0.011897578731893108,0.019577082477593717,0.43279351615490913,5,0.015766811718721484,0.005898452811214581,0.6349938583189904,5,0.004750442003430465,0.0,1.0,50.0,5,0.0,1.0,0.002805634856748386,0.21729240619177545,5,0.0022595765527607414,default_credit_card_clients,6.85962310243226e-05,2.999924261993537,5,5.524540545876843e-05,0.010525905216349678,0.42956651612475777,5,0.008477257318869526,5,dp_uniform,50,0.296797116524846,37.077626419067386,5,0.23903174848767691
0.5,0.02133366580974255,0.6775472011205805,5,0.017181512744675338,0.02021862883336918,0.4544163719442566,5,0.01628349445793559,0.02161592489286334,0.6520038877155253,5,0.017408835984721854,0.0,1.0,50.0,5,0.0,1.0,0.013192247363029923,0.20507858719949373,5,0.010624651582162548,default_credit_card_clients,0.00021634916716099873,2.999821425018383,5,0.00017424131445703252,0.036119277457406965,0.45881046672747133,5,0.029089413488398105,5,full_ha_dp,50,0.3404222861147864,37.08215208053589,5,0.2741661887654413
0.1,0.028765411376621388,0.6814593479094176,5,0.023166824050817623,0.03872556336878649,0.4549797517070112,5,0.031188440209918476,0.025897115202230477,0.6454027215621301,5,0.02085678189888257,2.040262141974771,0.984,73.8,5,1.6431676725154982,0.6,0.001174200992914727,0.2196817252641688,5,0.0009456672615243465,default_credit_card_clients,0.00021495308125035617,2.9997200419512753,5,0.00017311694754886558,0.044059386334721104,0.4459996617057801,5,0.035484145790212904,5,dp_uniform,75,0.9023238119602897,57.45744609832764,5,0.7267053029367221
0.1,0.036392516510639704,0.6959079004255877,5,0.02930947225923145,0.040720037261435936,0.4669803532786842,5,0.03279473136077307,0.029316851044861994,0.6573847646640395,5,0.023610937489749843,0.0,1.0,75.0,5,0.0,1.0,0.024901504550084087,0.20871233198676017,5,0.020054946093393585,default_credit_card_clients,0.00016066786521488948,2.9998094433462694,5,0.00012939721651535126,0.04681232425349562,0.4670334396750889,5,0.03770128176480588,5,full_ha_dp,75,1.0536562166299532,57.337163019180295,5,0.8485840115797899
0.5,0.015626914912507162,0.6820548256905944,5,0.012585461876251217,0.019380231295054604,0.4617950689626137,5,0.015608273512875229,0.00735772614043415,0.6514406624275064,5,0.0059256982171328855,2.1506251308180344,0.9866666666666667,74.0,5,1.7320508075688772,0.6,0.00337842842447678,0.21650852616936414,5,0.0027208878000522926,default_credit_card_clients,0.00017202073440635091,2.999768458370704,5,0.00013854048652067063,0.013224271649831379,0.4591949379963059,5,0.01065044300951148,5,dp_uniform,75,0.42688872981563314,57.21253147125244,5,0.34380374274617365
0.5,0.01696283948282542,0.6959870641700443,5,0.013661376594122436,0.012518485417941858,0.47848530060652694,5,0.010082023346131905,0.013240257094295172,0.6669987974657926,5,0.01066331722064019,0.0,1.0,75.0,5,0.0,1.0,0.017194683247712395,0.2021080134249964,5,0.013848096806049632,default_credit_card_clients,0.00011698376964926069,2.9998575889937693,5,9.421531897396832e-05,0.021115931882480503,0.48556547625861296,5,0.017006156184787135,5,full_ha_dp,75,0.5745188144955019,57.44368448257446,5,0.46270071076122077
0.1,0.026066534254467116,0.6925249686707344,5,0.0209932270664011,0.029400068718609815,0.46523620546184363,5,0.02367795857908497,0.019287388478521385,0.6541156197050478,5,0.01553350061403341,3.7661533766968835,0.978,97.8,5,3.03315017762062,0.6,0.0010411988584641226,0.21961787100794045,5,0.0008385512183411586,default_credit_card_clients,0.00012382434501135797,2.999786432968135,5,9.972451902486219e-05,0.031211900467394763,0.4621055977095702,5,0.02513715506976683,5,dp_uniform,100,0.6670546832859461,76.94877729415893,5,0.5372264028359767
0.1,0.03457971274003332,0.7040886001789046,5,0.027849492930500933,0.03763753922983107,0.47513167554591096,5,0.03031217727523615,0.026599627937655856,0.664259270696949,5,0.021422565183605056,2.574769267929082,0.986,98.6,5,2.073644135332772,0.4,0.024581407234186548,0.20861644461905432,5,0.01979714904333769,default_credit_card_clients,8.209581158223095e-06,2.999924387354365,5,6.611757423988579e-06,0.04399531669336912,0.48004730948399044,5,0.03543254596816389,5,full_ha_dp,100,0.48187242590628154,76.79008750915527,5,0.38808600926126124
