alpha,comparator_rounds,comparator_variant,contrast_family,dataset,difference_ci95,difference_ci95_high,difference_ci95_low,difference_std,improved_pairs,mean_difference,mean_improvement,metric,metric_goal,negative_differences,num_pairs,paired_seeds,paired_t_p,paired_t_p_holm_auprc_family,positive_differences,target_rounds,target_variant,ties,wilcoxon_p,wilcoxon_p_holm_auprc_family
0.1,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.01624325236222764,0.04178906533550276,0.009302560611047478,0.013081842097158073,5,0.025545812973275118,0.025545812973275118,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.012000673405875689,,5,75,dp_uniform,0,0.0625,
0.1,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.02216055736424193,0.05877199109883392,0.014450876370350061,0.01784746710567444,5,0.03661143373459199,0.03661143373459199,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.010130030170670904,,5,100,dp_uniform,0,0.0625,
0.1,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.018635272527211005,0.04375570736822468,0.006485162313802667,0.015008305430591066,5,0.025120434841013672,0.025120434841013672,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.020074593035218746,,5,75,full_ha_dp,0,0.0625,
0.1,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.020730008731647674,0.05403114332597818,0.01257112586268283,0.016695344925548628,5,0.033301134594330505,0.033301134594330505,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.01115908083455509,,5,100,full_ha_dp,0,0.0625,
0.1,50,dp_uniform,full_vs_dp,default_credit_card_clients,0.019987782062788177,0.03486171271121979,-0.0051138514143565655,0.016097577196168354,5,0.014873930648431611,0.014873930648431611,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.10770570896190179,,5,50,full_ha_dp,0,0.0625,
0.1,75,dp_uniform,full_vs_dp,default_credit_card_clients,0.015605325537993655,0.03005387805416382,-0.001156773021823489,0.012568074423168306,5,0.014448552516170166,0.014448552516170166,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.061937116772033236,,5,75,full_ha_dp,0,0.0625,
0.1,100,dp_uniform,full_vs_dp,default_credit_card_clients,0.020313678580165986,0.03187731008833611,-0.008750047071995861,0.016360044754098087,5,0.011563631508170125,0.011563631508170125,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.18914583956449568,,5,100,full_ha_dp,0,0.0625,
0.1,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.030152263790274837,0.06655468053656122,0.006250152956011536,0.02428375456958898,5,0.03640241674628637,0.03640241674628637,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.02851676035425908,0.11406704141703632,5,75,dp_uniform,0,0.0625,0.5
0.1,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.041494527478143396,0.08815339797926222,0.005164343022975422,0.033418483211376665,5,0.04665887050111882,0.04665887050111882,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.03545814150113323,0.11406704141703632,5,100,dp_uniform,0,0.0625,0.5
0.1,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.03208474862064591,0.06641648859879828,0.0022469913575064657,0.02584012153614891,5,0.03433173997815238,0.03433173997815238,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.04110810656327837,0.11406704141703632,5,75,full_ha_dp,0,0.0625,0.5
