alpha,comparator,delta_auc,delta_auprc,delta_balanced_accuracy,delta_client_auprc_mean,delta_f1,seed,target_epsilon,v5_variant
0.1,dp_uniform,0.007261904761904692,0.020224388043407815,0.008333333333333304,-0.0037037037037036535,0.008374910905203148,42,3.0,full_ha_dp
0.1,scheduler,0.008214285714285507,0.02913947971093167,0.004761904761904745,-0.0037037037037036535,-0.0013586956521738913,42,3.0,full_ha_dp
0.1,dp_uniform,0.04559523809523813,0.04842410611926923,0.04761904761904767,-0.01931216931216928,0.03809343314697239,42,3.0,ha_uniform
0.1,scheduler,0.04654761904761895,0.057339197786793084,0.04404761904761911,-0.01931216931216928,0.02835982658959535,42,3.0,ha_uniform
0.1,dp_uniform,-0.0195238095238095,-0.0192959816045572,-0.0071428571428572285,-0.004687659827579738,-0.005555727028612012,73,3.0,full_ha_dp
0.1,scheduler,-0.0172619047619047,-0.014765269260704317,-0.030952380952380953,-0.004345045532696268,-0.012829545033186285,73,3.0,full_ha_dp
0.1,dp_uniform,-0.020714285714285685,-0.021175270085646514,0.0011904761904761862,-0.005514444017290232,-0.01595119082622759,73,3.0,ha_uniform
0.1,scheduler,-0.018452380952380887,-0.01664455774179363,-0.02261904761904754,-0.005171829722406762,-0.023225008830801863,73,3.0,ha_uniform
0.1,dp_uniform,0.04452380952380952,0.02343055896594637,0.0404761904761905,0.00012315270935964184,0.20597171293871136,101,3.0,full_ha_dp
0.1,scheduler,0.04226190476190472,0.02208458075902897,0.0404761904761905,6.265664160409745e-05,0.20597171293871136,101,3.0,full_ha_dp
0.1,dp_uniform,0.026428571428571468,0.015378232516857882,0.03690476190476194,6.049606775554439e-05,0.25124025513819986,101,3.0,ha_uniform
0.1,scheduler,0.02416666666666667,0.014032254309940484,0.03690476190476194,0.0,0.25124025513819986,101,3.0,ha_uniform
0.1,dp_uniform,-0.015119047619047588,-0.01978047244607556,-0.0071428571428571175,-0.006326752022403903,-0.0036774193548386735,123,3.0,full_ha_dp
0.1,scheduler,-0.0034523809523808735,-0.005757259507087664,0.0,-0.0007105146162987852,0.0,123,3.0,full_ha_dp
0.1,dp_uniform,-0.01309523809523816,-0.018237986617722468,-0.0071428571428571175,-0.006172146966808567,-0.0036774193548386735,123,3.0,ha_uniform
0.1,scheduler,-0.0014285714285714457,-0.0042147736787345735,0.0,-0.0005559095607034492,0.0,123,3.0,ha_uniform
0.1,dp_uniform,0.01464285714285718,0.020552993442827128,0.044047619047619,0.0014219083436906033,0.06371590324240867,909,3.0,full_ha_dp
0.1,scheduler,-0.015833333333333255,-0.03060385857209652,0.00952380952380949,-0.0027263797619122843,0.014282220591831762,909,3.0,full_ha_dp
0.1,dp_uniform,0.01726190476190481,0.018952279703087493,0.02261904761904754,0.0009292650328333873,0.043985371157457764,909,3.0,ha_uniform
0.1,scheduler,-0.013214285714285623,-0.032204572311836155,-0.011904761904761973,-0.0032190230727695,-0.00544831149311914,909,3.0,ha_uniform
0.1,dp_uniform,-0.10547619047619039,-0.06493361814821613,-0.046428571428571375,-0.02972983649431038,0.018596196868008952,2026,3.0,full_ha_dp
