alpha,comparator,delta_auc,delta_auprc,delta_balanced_accuracy,delta_client_auprc_mean,delta_f1,seed,target_epsilon,v5_variant
0.1,dp_uniform,0.07124579157571331,0.04449291214564505,0.008291737168954705,0.0008477962437772879,0.048410627821549645,42,3.0,full_ha_dp
0.1,scheduler,0.005689642655283489,0.0035587351787072785,-0.02161728203157043,9.9170065414933e-05,-0.004701532406048536,42,3.0,full_ha_dp
0.1,dp_uniform,0.007851811799310493,0.003964736361491222,0.0033153408673350926,0.0001128319624021934,0.0046255973635375425,42,3.0,ha_uniform
0.1,scheduler,-0.05770433712111933,-0.036969440605446546,-0.02659367833319004,-0.0006357942159601615,-0.04848656286406064,42,3.0,ha_uniform
0.1,dp_uniform,0.10341611589885802,0.08154166405429672,0.06392337605708898,0.00397892363129948,0.08992775048189317,73,3.0,full_ha_dp
0.1,scheduler,0.04765997134329747,0.04270131635057575,0.0495331148820215,0.0014925886514216558,0.04403435658109833,73,3.0,full_ha_dp
0.1,dp_uniform,0.06586470954245038,0.04096808325357698,0.028700351282893055,0.002481779888651947,0.04418302465430257,73,3.0,ha_uniform
0.1,scheduler,0.010108564986889834,0.0021277355498560135,0.01431009010782558,-4.5550912258773835e-06,-0.0017103692464922604,73,3.0,ha_uniform
0.1,dp_uniform,0.004754429340116384,0.009469179841707254,-0.013254504389143218,0.0037343544712805654,0.004128553313778649,101,3.0,full_ha_dp
0.1,scheduler,0.003061510360551578,0.007340341457329758,-0.004447044560415336,0.0020955947739609293,0.002627687984503857,101,3.0,full_ha_dp
0.1,dp_uniform,0.003739107312981993,0.00872811034357801,-0.014752768017445184,0.0022069693773187904,-0.0012011233554618528,101,3.0,ha_uniform
0.1,scheduler,0.002046188333417187,0.0065992719592005145,-0.005945308188717302,0.0005682096799991543,-0.0027019886847366448,101,3.0,ha_uniform
0.1,dp_uniform,0.006041691627334589,0.027073804736677642,0.016643958954195126,0.0031740724010668186,0.0074934855481387785,123,3.0,full_ha_dp
0.1,scheduler,0.0037754693459243205,0.020769679627027637,0.006575764553609753,0.002141986726845957,0.012089422117894766,123,3.0,full_ha_dp
0.1,dp_uniform,0.004945744230244187,0.026508672522807697,0.012177717877123628,0.0031480002131731855,0.007998986458976565,123,3.0,ha_uniform
0.1,scheduler,0.0026795219488339184,0.020204547413157692,0.0021095234765382553,0.0021159145389523237,0.012594923028732552,123,3.0,ha_uniform
0.1,dp_uniform,0.1089272175873941,0.10724666044437459,0.03641343150428977,0.04623432108522613,0.10980216291971556,909,3.0,full_ha_dp
0.1,scheduler,0.09076707231742043,0.08691022656598166,0.043874284640247896,0.03293944624608991,0.08942986186126592,909,3.0,full_ha_dp
0.1,dp_uniform,0.09554555297770917,0.0867303494343877,0.029294507970117567,0.034761772375985045,0.09067563746342422,909,3.0,ha_uniform
0.1,scheduler,0.0773854077077355,0.06639391555599478,0.03675536110607569,0.021466897536848828,0.07030333640497458,909,3.0,ha_uniform
0.1,dp_uniform,-0.0001687868202325804,0.0005411859703984834,0.023069491835690292,-6.502389604534642e-07,0.009076577910747341,2026,3.0,full_ha_dp
0.1,scheduler,0.00022484421202750848,0.0007125716364745349,0.007209383221709942,0.00012039443557121388,0.0029006317997768427,2026,3.0,full_ha_dp
0.1,dp_uniform,0.0008421614297887681,0.0007879991789176977,0.0018349375712353178,0.00016150233437728367,0.0032841420710355007,2026,3.0,ha_uniform
0.1,scheduler,0.001235792462048857,0.0009593848449937492,-0.014025171042745033,0.000282547008908951,-0.0028918040399349976,2026,3.0,ha_uniform
0.1,dp_uniform,0.006031474270209447,0.0135388960091683,0.009779266782142693,0.0038296344295696283,0.013806757085259636,4096,3.0,full_ha_dp
0.1,scheduler,0.004838537697549383,0.02074347517976788,0.006434886172673293,0.005283244287363931,0.015358820052373823,4096,3.0,full_ha_dp
0.1,dp_uniform,0.0034504558393263496,0.013088091569242732,0.015930881850562018,0.003410215656373783,0.005624821776429478,4096,3.0,ha_uniform
0.1,scheduler,0.0022575192666662858,0.02029267073984231,0.012586501241092618,0.004863825514168085,0.007176884743543666,4096,3.0,ha_uniform
0.1,dp_uniform,0.0049330148463454515,0.015076032998070088,0.0044775986449308025,0.0010077905884046112,0.015269016982236816,27182,3.0,full_ha_dp
0.1,scheduler,-0.00016870664916579514,-0.0011738447081491854,-0.0005166134494091201,0.00020526872476145375,-0.0008103180291940681,27182,3.0,full_ha_dp
0.1,dp_uniform,-0.00024348843910948492,-1.605653245984051e-05,0.0005338056893843257,0.00011560587450865079,1.8973571922487054e-05,27182,3.0,ha_uniform
0.1,scheduler,-0.005345209934620732,-0.016265934238679114,-0.004460406404955597,-0.0006869159891345067,-0.016060361439508397,27182,3.0,ha_uniform
0.1,dp_uniform,0.006610995283714338,0.002290250819428463,0.030082411403176246,0.0016269083807052276,0.012114088847016091,31415,3.0,full_ha_dp
0.1,scheduler,0.004623011145114431,0.0020005533909971396,0.013847903905177206,0.001846126956608296,0.00414073251990188,31415,3.0,full_ha_dp
0.1,dp_uniform,0.00475542702450904,0.0013298048612668811,0.04061363825656439,-0.0006009764631874637,0.006853127626825717,31415,3.0,ha_uniform
0.1,scheduler,0.0027674428859091327,0.0010401074328355575,0.02437913075856535,-0.0003817578872843952,-0.0011202287002884947,31415,3.0,ha_uniform
0.1,dp_uniform,0.0024574302767815803,0.0009051953796996304,-0.004324026511681067,0.0003849096829690035,-0.0005280702333410603,65537,3.0,full_ha_dp
0.1,scheduler,-0.00024408526816566134,-1.93429107155918e-05,0.0,1.767392799473244e-05,0.0,65537,3.0,full_ha_dp
0.1,dp_uniform,-0.00021031543306415657,-0.00030808993866893175,0.002508285457102133,-4.0913739200176824e-05,-0.0005998894940406063,65537,3.0,ha_uniform
0.1,scheduler,-0.0029118309780113982,-0.001232628229084154,0.0068323119687832,-0.0004081494941744479,-7.181926069954603e-05,65537,3.0,ha_uniform
0.5,dp_uniform,0.019595118294636782,0.038658987509275544,0.008146805695174564,0.018005952075600073,0.020129611784705015,42,3.0,full_ha_dp
0.5,scheduler,0.013469656809930952,0.026857952111412675,0.0009347501045564588,0.014658647090644017,0.013015892639490545,42,3.0,full_ha_dp
0.5,dp_uniform,0.014895160740762803,0.030388006081578156,-0.013768445469644286,0.01579205021975072,0.005930607092779316,42,3.0,ha_uniform
0.5,scheduler,0.008769699256056973,0.018586970683715287,-0.02098050106026239,0.012444745234794663,-0.0011831120524351535,42,3.0,ha_uniform
0.5,dp_uniform,0.015311613803498103,0.04832320393196343,0.023639864439633174,0.005176110944119128,0.03451842020482232,73,3.0,full_ha_dp
0.5,scheduler,0.010353469781520519,0.037288918962960715,0.018334855841286357,0.012821189145097056,0.03155944337694644,73,3.0,full_ha_dp
0.5,dp_uniform,0.012412102446152984,0.044869871520664684,-0.0018307508599461064,0.006494502827276094,0.028572229072305444,73,3.0,ha_uniform
0.5,scheduler,0.0074539584241754,0.03383558655166197,-0.007135759458292923,0.014139581028254022,0.025613252244429563,73,3.0,ha_uniform
0.5,dp_uniform,0.014700487573707233,0.02845710834758175,0.02354454994857924,0.024699373162227256,0.0312997512518583,101,3.0,full_ha_dp
0.5,scheduler,0.009651171232483047,0.018525807586508847,0.009569619441305743,0.016846774738403902,0.021263115530590404,101,3.0,full_ha_dp
0.5,dp_uniform,0.011783311857879841,0.028507458864874657,0.029095594644394596,0.023785915976540783,0.02929508624449001,101,3.0,ha_uniform
0.5,scheduler,0.006733995516655655,0.018576158103801754,0.015120664137121098,0.01593331755271743,0.019258450523222115,101,3.0,ha_uniform
0.5,dp_uniform,0.010860373623897024,0.0325386377398722,0.0010459206511316266,0.02008035018776949,0.01953515568237263,123,3.0,full_ha_dp
0.5,scheduler,0.007790222603876074,0.02558217073614838,0.012909991497412898,0.021320547264936707,0.012538222833064772,123,3.0,full_ha_dp
0.5,dp_uniform,0.008933862878078958,0.02662071953165107,0.007822647346627187,0.02847054017645162,0.01456464478081998,123,3.0,ha_uniform
0.5,scheduler,0.005863711858058007,0.01966425252792725,0.01968671819290846,0.029710737253618835,0.007567711931512122,123,3.0,ha_uniform
0.5,dp_uniform,0.00316869016955712,0.007007824209493141,0.0015293076471171174,0.004941985690683215,-0.0015484525987269904,909,3.0,full_ha_dp
0.5,scheduler,0.000488785181179785,0.002596477449614054,0.00010783008544001937,0.0014445417687115603,0.0014760261865625068,909,3.0,full_ha_dp
0.5,dp_uniform,0.0014586234894989891,0.0048576959328767155,0.00295479376215646,0.003974928252367171,0.0010612910124983,909,3.0,ha_uniform
0.5,scheduler,-0.001221281498878346,0.0004463491729976288,0.0015333162004793621,0.00047748433039551674,0.004085769797787797,909,3.0,ha_uniform
0.5,dp_uniform,0.020554222587841897,0.06352426588150928,-0.017763458829262002,0.009477769740395214,0.04255266032142302,2026,3.0,full_ha_dp
0.5,scheduler,0.01726784129157366,0.04825951355451685,-0.017129840161161702,0.004483408615478801,0.034637160956057234,2026,3.0,full_ha_dp
0.5,dp_uniform,0.019979351496236974,0.0636686566304055,-0.01582269544926762,0.009622819080731315,0.044010770388875575,2026,3.0,ha_uniform
0.5,scheduler,0.016692970199968737,0.04840390430341307,-0.015189076781167321,0.004628457955814902,0.03609527102350979,2026,3.0,ha_uniform
0.5,dp_uniform,0.009741853617429963,0.021832541402912742,0.006629345550216326,0.013633027269409237,0.013740341432450842,4096,3.0,full_ha_dp
0.5,scheduler,0.0060116096613263,0.019953366141696238,-0.012112111220430766,0.0125435852850318,0.00889177199845359,4096,3.0,full_ha_dp
0.5,dp_uniform,0.006165368860399423,0.01880798935023148,-0.01626154296345228,0.012801264875380247,0.004174649926448837,4096,3.0,ha_uniform
0.5,scheduler,0.00243512490429576,0.016928814089014976,-0.03500299973409937,0.01171182289100281,-0.000673919507548415,4096,3.0,ha_uniform
0.5,dp_uniform,0.06168585501775137,0.07131930501458461,0.021980367887211805,0.039791451596750405,0.052155505018117665,27182,3.0,full_ha_dp
0.5,scheduler,0.036675145499352135,0.05774463802998209,0.013075589290748812,0.032930449295714426,0.042039483560356916,27182,3.0,full_ha_dp
0.5,dp_uniform,0.0525393072061765,0.0426182426155452,0.009881930287693907,0.02953425761056916,0.030237616706634163,27182,3.0,ha_uniform
