alpha,auc_ci95,auc_mean,auc_n,auc_std,auprc_ci95,auprc_mean,auprc_n,auprc_std,balanced_accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_n,balanced_accuracy_std,best_round_ci95,best_round_fraction_mean,best_round_mean,best_round_n,best_round_std,boundary_selection_rate,brier_ci95,brier_mean,brier_n,brier_std,dataset,epsilon_ci95,epsilon_mean,epsilon_n,epsilon_std,f1_ci95,f1_mean,f1_n,f1_std,num_runs,paper_method,sensitivity_rounds,training_time_ci95,training_time_mean,training_time_n,training_time_std
0.1,0.11737252336259232,0.8042117282254267,5,0.09452840988575607,0.12271206882882783,0.31710150286531025,5,0.09882872420102966,0.054192515066815224,0.6787948596093264,5,0.04364507237482279,10.73159785341035,0.8640000000000001,43.2,5,8.64291617453276,0.2,0.003410761096872571,0.06503441061445678,5,0.0027469275921720325,give_me_some_credit,0.00023690393583677575,2.999820171354293,5,0.00019079552614836948,0.11210318515636941,0.3753164289021169,5,0.09028463845174033,5,dp_uniform,50,6.759460787463137,187.02060198783875,5,5.443872736297101
0.1,0.08026202874439814,0.8219442695280017,5,0.06464069898177602,0.10313908899724324,0.3349963401993542,5,0.083065216633846,0.060523285556856175,0.6953078992107159,5,0.04874369043832407,12.114976141876904,0.884,44.2,5,9.757048734120374,0.4,0.004261455485263305,0.06401659923741174,5,0.003432052061933077,give_me_some_credit,2.970534612175857e-05,2.9999546523075145,5,2.3923820103289892e-05,0.09119007789624885,0.39378918832405463,5,0.07344183130715518,5,full_ha_dp,50,6.7095778173140825,187.89529485702514,5,5.403698445811739
0.5,0.027780424031630797,0.8272144696305315,5,0.022373543947331088,0.022534649016310526,0.32336895432196133,5,0.018148749620597777,0.019829875300493446,0.7106944907778775,5,0.01597040369148177,7.88236628321376,0.892,44.6,5,6.348228099241551,0.2,7.23967961555755e-05,0.06672550788022298,5,5.8306269860692725e-05,give_me_some_credit,0.00012820010407608206,2.999841967936264,5,0.00010324862785869665,0.01786941670564456,0.3988875870372428,5,0.014391507470213413,5,dp_uniform,50,2.632254803499178,178.34710369110107,5,2.1199413104568445
0.5,0.007669355593446044,0.8528801607340819,5,0.006176675497188287,0.012928029073819566,0.3724562810150617,5,0.010411857871792767,0.0033007901539176,0.7141912498624843,5,0.002658360199452216,2.483327996407533,0.96,48.0,5,2.0,0.2,0.0029080226143542182,0.06506587209881824,5,0.002342036668986991,give_me_some_credit,4.8627477547881536e-05,2.999928242001684,5,3.91631533315194e-05,0.012198591142079395,0.4301828205227604,5,0.009824389818603337,5,full_ha_dp,50,2.0439691428600013,178.49133443832397,5,1.6461531830002938
0.1,0.12141071643323498,0.8052611728403585,5,0.09778065290519163,0.1241210692752795,0.323353604598798,5,0.0999634920999862,0.0644935437690443,0.6923199769819958,5,0.051941220702495086,22.93552048873855,0.8026666666666668,60.2,5,18.471599822430107,0.2,0.003388980156983139,0.0651054932755587,5,0.0027293858579178856,give_me_some_credit,6.675819168053286e-05,2.9999529214165053,5,5.37651021348026e-05,0.11368331062018207,0.37992034629917076,5,0.09155722545281189,5,dp_uniform,75,9.59373217994137,265.2875817298889,5,7.726512320418397
0.1,0.07621032367047507,0.8240526884253914,5,0.06137757378866065,0.10183135894978439,0.33883451305863366,5,0.08201200896305047,0.05653939556460997,0.6947403771336083,5,0.04553518153574702,13.787503234120392,0.8720000000000001,65.4,5,11.104053313993049,0.0,0.004552301012384632,0.0638037879854838,5,0.00366629057375437,give_me_some_credit,0.00010858466350226931,2.9999203550420965,5,8.745092364709904e-05,0.08913842169668265,0.39695039937581045,5,0.07178948719269733,5,full_ha_dp,75,9.665440887742898,265.2891040802002,5,7.7842644239707806
0.5,0.019432779188679777,0.8348581003287461,5,0.015650594055067957,0.0216764204544397,0.3352523214483875,5,0.017457557347074208,0.019010557200513162,0.7079833012574832,5,0.015310548770049292,9.01383069675394,0.9226666666666666,69.2,5,7.259476565152614,0.0,9.211901148405348e-05,0.06671573155413632,5,7.418996734810383e-05,give_me_some_credit,7.55772541322598e-05,2.9999365207450532,5,6.0867718031280956e-05,0.021434242022586435,0.4042893243332807,5,0.01726251389554174,5,dp_uniform,75,2.9571312059316157,254.18344326019286,5,2.3815872975374197
0.5,0.007301487803361113,0.8535384560566792,5,0.005880405499332907,0.01001224068300575,0.3772491514204799,5,0.008063566872752854,0.005958110483183778,0.7118365632623209,5,0.004798488553910706,11.400341904429935,0.8853333333333333,66.4,5,9.181503144910424,0.0,0.002861595662619311,0.06505141550925211,5,0.0023046457550182603,give_me_some_credit,0.000122901758763387,2.999822087093094,5,9.898149494644354e-05,0.010509602690618371,0.4323178847692972,5,0.008464127739728237,5,full_ha_dp,75,2.829504552241915,254.69191460609437,5,2.278800509908617
0.1,0.12314994696427671,0.8066819983440221,5,0.09918137849082331,0.12613403344418145,0.3269673517489153,5,0.10158467478049717,0.062178610875859096,0.6934807293251066,5,0.050076841211317065,35.40811230131927,0.722,72.2,5,28.51666179622012,0.0,0.0033932186707500383,0.06507600600269384,5,0.0027327994333884082,give_me_some_credit,0.00010488285048789642,2.999818749330585,5,8.446959132230904e-05,0.11702434611950993,0.3838795577526132,5,0.09424799808064126,5,dp_uniform,100,13.445569523202419,359.50627307891847,5,10.828669867736552
0.1,0.08060538171003562,0.8238625832275892,5,0.06491722545442416,0.10418228803695193,0.33942964347174603,5,0.08390537873987293,0.05379009762765937,0.6929358867521319,5,0.04332097709643991,17.330000102943128,0.8160000000000001,81.6,5,13.957077057894322,0.0,0.0046323389482755325,0.0636493745268215,5,0.0037307507948823775,give_me_some_credit,3.891600691114811e-05,2.9999537620316348,5,3.1341817889095064e-05,0.09013864324622307,0.39807448898017334,5,0.07259503648057825,5,full_ha_dp,100,13.11943039810011,359.0414687633514,5,10.566006920615502
0.5,0.013081427031455671,0.8386196020931773,5,0.010535400116601359,0.01703442273431227,0.3414908176693298,5,0.013719027658814985,0.023412352192022253,0.7125637504737886,5,0.018855626180586182,15.671550876366812,0.8940000000000001,89.4,5,12.621410380777577,0.0,8.55805924122069e-05,0.06671677956338981,5,6.89241151680412e-05,give_me_some_credit,0.00019249035069518225,2.9998613266833405,5,0.0001550261189610437,0.018890104986537846,0.4087829983824475,5,0.015213540067091351,5,dp_uniform,100,4.355092836511933,343.67217383384707,5,3.507464855880624
0.5,0.0071798082102222365,0.8541876083144524,5,0.005782408300964506,0.01022801843678243,0.37835336987930895,5,0.008237347987522091,0.011715319327483986,0.7179726251436955,5,0.009435176782472365,11.015176368313995,0.7819999999999999,78.2,5,8.87130204648675,0.0,0.003220129060195353,0.06492343222614724,5,0.002593398105166697,give_me_some_credit,9.175373163360465e-05,2.9999260632680222,5,7.38957816014145e-05,0.011579577996983352,0.4327145509307521,5,0.00932585467061521,5,full_ha_dp,100,4.741383880292518,343.6587657928467,5,3.818572405378239
