alpha,comparator_rounds,comparator_variant,contrast_family,dataset,difference_ci95,difference_ci95_high,difference_ci95_low,difference_std,improved_pairs,mean_difference,mean_improvement,metric,metric_goal,negative_differences,num_pairs,paired_seeds,paired_t_p,paired_t_p_holm_auprc_family,positive_differences,target_rounds,target_variant,ties,wilcoxon_p,wilcoxon_p_holm_auprc_family
0.1,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.005139868089888484,0.006189312704820234,-0.004090423474956735,0.004139499975294438,3,0.0010494446149317493,0.0010494446149317493,auc,maximize,2,5,"[42, 123, 2026, 27182, 31415]",0.6010886392814634,,3,75,dp_uniform,0,0.625,
0.1,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.00837621060602819,0.010846480724623542,-0.005905940487432837,0.006745955925391654,3,0.0024702701185953524,0.0024702701185953524,auc,maximize,2,5,"[42, 123, 2026, 27182, 31415]",0.45886906910615055,,3,100,dp_uniform,0,0.625,
0.1,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.004454959731235743,0.006563378628625228,-0.002346540833846257,0.003587894742603828,3,0.0021084188973894856,0.0021084188973894856,auc,maximize,2,5,"[42, 123, 2026, 27182, 31415]",0.2591292249970321,,3,75,full_ha_dp,0,0.4375,
0.1,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.0032774315857889754,0.005195745285376391,-0.0013591178862015604,0.0026395478893889326,4,0.001918313699587415,0.001918313699587415,auc,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.17947055067942466,,4,100,full_ha_dp,0,0.125,
0.1,50,dp_uniform,full_vs_dp,give_me_some_credit,0.03729292980787274,0.05502547111044777,-0.019560388505297722,0.03003463888928242,4,0.01773254130257502,0.01773254130257502,auc,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.25725187434816205,,4,50,full_ha_dp,0,0.125,
0.1,75,dp_uniform,full_vs_dp,give_me_some_credit,0.045404239877431814,0.06419575546246457,-0.026612724292399054,0.036567251642243906,5,0.01879151558503276,0.01879151558503276,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.31455563490022365,,5,75,full_ha_dp,0,0.0625,
0.1,100,dp_uniform,full_vs_dp,give_me_some_credit,0.0427733669175337,0.05995395180110079,-0.025592782033966616,0.03444842322835414,4,0.017180584883567086,0.017180584883567086,auc,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.3272420298103698,,4,100,full_ha_dp,0,0.125,
0.1,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.007858617408636364,0.014110719142124067,-0.001606515675148662,0.006329101447738606,4,0.006252101733487702,0.006252101733487702,auprc,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.09174208873960812,0.3834773607677584,4,75,dp_uniform,0,0.125,0.5
0.1,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.013668528277902532,0.02353437716150756,-0.003802679394297504,0.011008234351383218,4,0.009865848883605028,0.009865848883605028,auprc,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.1155850349867904,0.3834773607677584,4,100,dp_uniform,0,0.125,0.5
0.1,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.005075716451442221,0.008913889310721698,-0.0012375435921627453,0.004087834115175221,4,0.003838172859279476,0.003838172859279476,auprc,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.10371158886801447,0.3834773607677584,4,75,full_ha_dp,0,0.125,0.5
0.1,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.005929124857109451,0.010362428129501293,-0.001495821584717609,0.00477514437535978,5,0.004433303272391842,0.004433303272391842,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.10650483351699469,0.3834773607677584,5,100,full_ha_dp,0,0.0625,0.5
0.1,50,dp_uniform,full_vs_dp,give_me_some_credit,0.02276269345038462,0.04065753078442856,-0.0048678561163406735,0.018332409962207093,5,0.017894837334043946,0.017894837334043946,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.09445950903205182,0.28337852709615546,5,50,full_ha_dp,0,0.0625,0.375
0.1,75,dp_uniform,full_vs_dp,give_me_some_credit,0.02391155424796729,0.03939246270780301,-0.008430645788131573,0.019257668968866427,4,0.015480908459835718,0.015480908459835718,auprc,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.1466582129026954,0.2933164258053908,4,75,full_ha_dp,0,0.125,0.375
0.1,100,dp_uniform,full_vs_dp,give_me_some_credit,0.022869865684271958,0.035332157407102716,-0.010407573961441199,0.018418723356202874,4,0.012462291722830759,0.012462291722830759,auprc,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.20484302778760385,0.2933164258053908,4,100,full_ha_dp,0,0.125,0.375
0.1,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.008464419939905649,0.013068337336959491,-0.003860502542851807,0.006816997152329912,4,0.004603917397053842,0.004603917397053842,f1,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.2055212446038093,,4,75,dp_uniform,0,0.3125,
0.1,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.008724670738812964,0.01728779958930926,-0.00016154188831666617,0.0070265955616288876,5,0.008563128850496298,0.008563128850496298,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.052712052947655554,,5,100,dp_uniform,0,0.0625,
0.1,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.005632959626348049,0.008794170678103834,-0.0024717485745922633,0.004536621529251779,4,0.0031612110517557856,0.0031612110517557856,f1,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.1942006442897788,,4,75,full_ha_dp,0,0.1875,
0.1,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.006142605856499465,0.01042790651261814,-0.001857305200380791,0.004947075751077238,4,0.004285300656118674,0.004285300656118674,f1,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.12481448805492006,,4,100,full_ha_dp,0,0.1875,
0.1,50,dp_uniform,full_vs_dp,give_me_some_credit,0.021106510335735667,0.039579269757673397,-0.002633750913797934,0.01699856834559838,5,0.018472759421937733,0.018472759421937733,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.07198177050708829,,5,50,full_ha_dp,0,0.0625,
0.1,75,dp_uniform,full_vs_dp,give_me_some_credit,0.02605320700163037,0.04308326007827005,-0.009023153924990694,0.020982493685344692,5,0.017030053076639677,0.017030053076639677,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.14373243880933376,,5,75,full_ha_dp,0,0.0625,
0.1,100,dp_uniform,full_vs_dp,give_me_some_credit,0.02748959980382166,0.04168453103138177,-0.01329466857626155,0.022139322589355134,4,0.014194931227560109,0.014194931227560109,f1,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.2249604213728938,,4,100,full_ha_dp,0,0.125,
0.1,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.014139718333271163,0.027664835705940555,-0.0006146009606017699,0.011387717090715493,4,0.013525117372669393,0.013525117372669393,balanced_accuracy,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.05664006033372911,,4,75,dp_uniform,0,0.125,
0.1,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.01323686388299732,0.027922733598777554,0.00144900583278291,0.01066058442714472,5,0.014685869715780231,0.014685869715780231,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.03691810847703411,,5,100,dp_uniform,0,0.0625,
0.1,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.011028202467815919,0.0104606803907083,-0.011595724544923537,0.008881792887423403,2,-0.0005675220771076184,-0.0005675220771076184,balanced_accuracy,maximize,3,5,"[42, 123, 2026, 27182, 31415]",0.8932943815641696,,2,75,full_ha_dp,0,1.0,
0.1,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.01224674004398587,0.00987472758540202,-0.014618752502569719,0.009863167541059757,2,-0.00237201245858385,-0.00237201245858385,balanced_accuracy,maximize,3,5,"[42, 123, 2026, 27182, 31415]",0.6192691959151029,,2,100,full_ha_dp,0,0.625,
0.1,50,dp_uniform,full_vs_dp,give_me_some_credit,0.013016371889220252,0.029529411490609687,0.003496667712169183,0.010483006600859959,5,0.016513039601389435,0.016513039601389435,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.02439939255920131,,5,50,full_ha_dp,0,0.0625,
