alpha,comparator_cell,comparator_variant,contrast,dataset,difference_ci95,difference_ci95_high,difference_ci95_low,difference_std,mean_difference,mean_improvement,metric,metric_goal,negative_differences,num_pairs,paired_seeds,paired_t_p,paired_t_p_holm_auprc_family,positive_differences,target_cell,target_epsilon,target_variant,ties,wilcoxon_p,wilcoxon_p_holm_auprc_family
0.1,A0,dp_uniform,scheduler_without_ha,default_credit_card_clients,0.006541672424063565,0.020080285350766062,0.006996940502638933,0.009144627484969288,0.013538612926702498,0.013538612926702498,auc,maximize,0,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.00114936473293935,,10,A1,3.0,scheduler,0,0.001953125,
0.1,A0,dp_uniform,ha_under_uniform,default_credit_card_clients,0.01974516514135867,0.019350136605159055,-0.020140193677558284,0.02760183759472996,-0.0003950285361996153,-0.0003950285361996153,auc,maximize,5,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.9648903440681811,,5,A2,3.0,ha_uniform,0,0.6953125,
0.1,A1,scheduler,ha_under_scheduler,default_credit_card_clients,0.017893922961251123,0.01587048217174884,-0.019917363750753408,0.02501397947158811,-0.0020234407895022843,-0.0020234407895022843,auc,maximize,8,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.8038525942576195,,2,A3,3.0,full_ha_dp,0,0.431640625,
0.1,A2,ha_uniform,scheduler_with_ha,default_credit_card_clients,0.00821549246663031,0.02012569314003014,0.003694708206769518,0.011484466561876206,0.011910200673399828,0.011910200673399828,auc,maximize,1,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.009536811249069547,,9,A3,3.0,full_ha_dp,0,0.005859375,
0.1,A0,dp_uniform,full_vs_uniform_dp,default_credit_card_clients,0.013315136387794716,0.024830308524994932,-0.0017999642505945029,0.018613277199579795,0.011515172137200214,0.011515172137200214,auc,maximize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.08212409917286,,8,A3,3.0,full_ha_dp,0,0.064453125,
0.1,A1-A0,scheduler_effect_without_ha,factorial_interaction,default_credit_card_clients,0.003401197104391302,0.0017727848510886329,-0.005029609357693971,0.004754545704276377,-0.001628412253302669,-0.001628412253302669,auc,maximize,6,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.3069405666599003,,4,A3-A2,3.0,scheduler_effect_with_ha,0,0.322265625,
0.1,A0,dp_uniform,scheduler_without_ha,default_credit_card_clients,0.01004691176026648,0.027385536550176337,0.007291713029643376,0.014044614200495662,0.017338624789909857,0.017338624789909857,auprc,maximize,0,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.003597687532030003,0.11152831349293009,10,A1,3.0,scheduler,0,0.001953125,0.0703125
0.1,A0,dp_uniform,ha_under_uniform,default_credit_card_clients,0.018527523170178133,0.012654565156308016,-0.02440048118404825,0.02589969148977521,-0.005872958013870116,-0.005872958013870116,auprc,maximize,5,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.4915196272677155,1.0,5,A2,3.0,ha_uniform,0,0.556640625,1.0
0.1,A1,scheduler,ha_under_scheduler,default_credit_card_clients,0.016081678284835,0.009488156338697226,-0.022675200230972775,0.02248063609956556,-0.0065935219461377755,-0.0065935219461377755,auprc,maximize,7,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.37787481135434575,1.0,3,A3,3.0,full_ha_dp,0,0.322265625,1.0
0.1,A2,ha_uniform,scheduler_with_ha,default_credit_card_clients,0.011868472941605208,0.028486533799247406,0.004749587916036989,0.016590981148364926,0.016618060857642197,0.016618060857642197,auprc,maximize,1,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.01141286923785549,0.3309732078978092,9,A3,3.0,full_ha_dp,0,0.005859375,0.158203125
0.1,A0,dp_uniform,full_vs_uniform_dp,default_credit_card_clients,0.009636456203996255,0.02038155904776834,0.0011086466397758257,0.013470836897398074,0.010745102843772081,0.010745102843772081,auprc,maximize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.032639228814359586,0.787171146305417,8,A3,3.0,full_ha_dp,0,0.048828125,0.927734375
0.1,A1-A0,scheduler_effect_without_ha,factorial_interaction,default_credit_card_clients,0.004449871523752379,0.00372930759148472,-0.005170435456020039,0.0062204914588815195,-0.0007205639322676594,-0.0007205639322676594,auprc,maximize,7,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.7225975166849876,1.0,3,A3-A2,3.0,scheduler_effect_with_ha,0,0.6953125,1.0
0.1,A0,dp_uniform,scheduler_without_ha,default_credit_card_clients,0.012071994763556944,0.02646587834515588,0.002321888818041993,0.016875485037609623,0.014393883581598937,0.014393883581598937,f1,maximize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.02450367819710428,,8,A1,3.0,scheduler,0,0.013671875,
0.1,A0,dp_uniform,ha_under_uniform,default_credit_card_clients,0.02073963476304509,0.02091886862682843,-0.020560400899261748,0.028992010267086366,0.00017923386378334015,0.00017923386378334015,f1,maximize,5,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.9848290843322689,,5,A2,3.0,ha_uniform,0,0.845703125,
0.1,A1,scheduler,ha_under_scheduler,default_credit_card_clients,0.021909346078205397,0.021647903147022904,-0.02217078900938789,0.03062715393504918,-0.00026144293118249284,-0.00026144293118249284,f1,maximize,5,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.9790534522418697,,5,A3,3.0,full_ha_dp,0,0.921875,
0.1,A2,ha_uniform,scheduler_with_ha,default_credit_card_clients,0.010024908437907114,0.02397811522454022,0.003928298348725991,0.014013855676778096,0.013953206786633105,0.013953206786633105,f1,maximize,1,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.011764177686582188,,9,A3,3.0,full_ha_dp,0,0.005859375,
0.1,A0,dp_uniform,full_vs_uniform_dp,default_credit_card_clients,0.01326413302622228,0.027396573676638725,0.0008683076241941638,0.018541979416409633,0.014132440650416444,0.014132440650416444,f1,maximize,3,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.03923329751370857,,7,A3,3.0,full_ha_dp,0,0.037109375,
0.1,A1-A0,scheduler_effect_without_ha,factorial_interaction,default_credit_card_clients,0.010369571611319737,0.009928894816353903,-0.010810248406285571,0.0144956615704899,-0.000440676794965833,-0.000440676794965833,f1,maximize,5,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.9255198765658406,,5,A3-A2,3.0,scheduler_effect_with_ha,0,1.0,
0.1,A0,dp_uniform,scheduler_without_ha,default_credit_card_clients,0.013778075594143471,0.028126040647276987,0.0005698894589900444,0.019260421586491328,0.014347965053133516,0.014347965053133516,balanced_accuracy,maximize,1,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.04290084006426889,,9,A1,3.0,scheduler,0,0.005859375,
