alpha,auc_ci95,auc_mean,auc_n,auc_std,auprc_ci95,auprc_mean,auprc_n,auprc_std,balanced_accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_n,balanced_accuracy_std,brier_ci95,brier_mean,brier_n,brier_std,client_auc_mean_ci95,client_auc_mean_mean,client_auc_mean_n,client_auc_mean_std,client_auc_min_ci95,client_auc_min_mean,client_auc_min_n,client_auc_min_std,client_auprc_mean_ci95,client_auprc_mean_mean,client_auprc_mean_n,client_auprc_mean_std,client_auprc_min_ci95,client_auprc_min_mean,client_auprc_min_n,client_auprc_min_std,client_f1_mean_ci95,client_f1_mean_mean,client_f1_mean_n,client_f1_mean_std,client_f1_min_ci95,client_f1_min_mean,client_f1_min_n,client_f1_min_std,communication_cost_ci95,communication_cost_mean,communication_cost_n,communication_cost_std,communication_mb_mean,dataset,f1_ci95,f1_mean,f1_n,f1_std,method_family,num_runs,paper_method,split,target_epsilon,training_time_ci95,training_time_mean,training_time_n,training_time_std
,0.0037752994424756457,0.7768870893431151,10,0.00527750471250386,0.005455623648305609,0.5418698299357878,10,0.00762643598270446,0.006104695982336334,0.7070079265339809,10,0.008533776540399874,0.0007812601010127005,0.13592543425519044,10,0.001092126314113524,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10,0.0,0.0,default_credit_card_clients,0.007967405739041946,0.5397593997054929,10,0.011137665230244958,reference,10,centralized_mlp,iid,,0.010395314546701995,10.760396051406861,10,0.014531647712745272
0.1,0.021797851050918707,0.6640878164433208,10,0.030471294634113737,0.03213808579346626,0.431411451656432,10,0.04492594608989502,0.02611937216839528,0.6289858961460044,10,0.03651236459695409,0.0016381540510682735,0.21890829352050734,10,0.002289981458702762,0.05500620688428248,0.6150309686294398,10,0.07689337507448213,0.1398205377788319,0.4472920236233403,10,0.1954556342552607,0.0974218863194065,0.48856997202646923,10,0.13618640639920576,0.0,0.0,10,0.0,0.07040387561225087,0.33256601461558327,10,0.09841783174649105,0.0,0.0,10,0.0,0.0,3204000.0,10,0.0,3.055572509765625,default_credit_card_clients,0.02839880818728798,0.430758962034507,10,0.03969879643232363,privacy_matched,10,dp_uniform,noniid_alpha=0.1,3.0,0.3584509436259439,37.342402124404906,10,0.501079867441423
0.5,0.022523544351001776,0.6530526823511617,10,0.03148574391671407,0.0288712892462108,0.42164497476322166,10,0.040359279409376926,0.03416517592073656,0.6170318401450331,10,0.04775962269286241,0.0022146279431620873,0.21626188367904703,10,0.0030958363924681043,0.05410431727293936,0.6343568154669198,10,0.07563262033262769,0.1359758093811709,0.4456192928780361,10,0.1900810745557928,0.0442610848620824,0.48108115776991084,10,0.06187273022957834,0.04374256764557579,0.03557490141579188,10,0.06114789314173305,0.04223248609578894,0.37962067841870223,10,0.05903694469467708,0.060433393726750814,0.043937437794309295,10,0.08448005914370225,0.0,3204000.0,10,0.0,3.055572509765625,default_credit_card_clients,0.025274768124988252,0.4220250831743714,10,0.03533168955721275,privacy_matched,10,dp_uniform,noniid_alpha=0.5,3.0,0.3583275776086861,36.80058171749115,10,0.5009074136407745
,0.0043304945690140146,0.7602542286646936,10,0.0060536139831221525,0.005581069571675083,0.5300965705932651,10,0.007801797291611038,0.004868750610745515,0.7012871486231974,10,0.006806044045970073,0.0007654804691550713,0.13831745342022292,10,0.00107006790980438,0.004464145149832765,0.760283828479266,10,0.0062404446122807525,0.013848441373339784,0.7211775717729155,10,0.01935878616312052,0.005293661062912102,0.5370651924462888,10,0.0074000279001966976,0.011570823992461617,0.4743692481262095,10,0.016174896608393427,0.005962020162387778,0.5330137145067174,10,0.008334329496897254,0.011056333097234803,0.48256408201699524,10,0.015455687929592753,0.0,3204000.0,10,0.0,3.055572509765625,default_credit_card_clients,0.005736191070008802,0.5335572802137897,10,0.008018642193834219,reference,10,fedavg_iid,iid,,0.23390187351127453,18.390778303146362,10,0.32697227293572395
0.1,0.07329543509914643,0.5882205751232328,10,0.10245995318641841,0.09171416430454417,0.3245007415521147,10,0.12820756120028157,0.06022948621609553,0.5636672761850332,10,0.08419501609882724,0.01440254361719947,0.19911039230395394,10,0.020133367689098992,0.07516734447789301,0.5782929197642401,10,0.10507670206110822,0.10340628976763024,0.4896610001081544,10,0.14455202557213548,0.10694748949148637,0.46836623515475984,10,0.14950228144331296,0.0,0.0,10,0.0,0.15626476400557765,0.24439769808213177,10,0.21844307743095265,0.0,0.0,10,0.0,0.0,3204000.0,10,0.0,3.055572509765625,default_credit_card_clients,0.1656860542105898,0.26459648925844914,10,0.23161313300201847,reference,10,fedavg_noniid,noniid_alpha=0.1,,0.0482645969629825,18.501010847091674,10,0.06746925424072049
0.5,0.02525562979100462,0.723015209791986,10,0.03530493601108294,0.026819198222798216,0.5020658784600415,10,0.03749065396348513,0.019148003405644827,0.6822991060737734,10,0.026767063049723223,0.01897380947392527,0.175890220246608,10,0.02652355672405368,0.05645623190040797,0.7028498767965001,10,0.07892037027643958,0.19692559847064037,0.49849369652116077,10,0.27528300464027416,0.04524493635805495,0.5143567980370133,10,0.06324805978568748,0.05077657769626302,0.04597240840268253,10,0.07098076117139024,0.047970923963634136,0.4157585495343694,10,0.0670587276953136,0.06099506672849975,0.04536067244565567,10,0.08526522385945057,0.0,3204000.0,10,0.0,3.055572509765625,default_credit_card_clients,0.02977876095189381,0.5058995955029086,10,0.04162783738105017,reference,10,fedavg_noniid,noniid_alpha=0.5,,0.05617821616076339,18.451436614990236,10,0.07853173107086642
0.1,0.033368228909633736,0.6865883570757375,10,0.04664556759053308,0.04752190085485908,0.43936652592090886,10,0.06643103667141177,0.03199066022491292,0.6335047445836371,10,0.04471985935567994,0.010851138061218533,0.2118392729415611,10,0.015168845048370027,0.07013289857700952,0.6543299965258889,10,0.09803903197119992,0.1478545913174179,0.5115667693307078,10,0.2066864666849639,0.09935958713921574,0.4903933846788483,10,0.1388951253667428,0.0,0.0,10,0.0,0.0729371433097907,0.36606193589270164,10,0.10195909580130558,0.0,0.0,10,0.0,0.0,3204000.0,10,0.0,3.055572509765625,default_credit_card_clients,0.036161783624879706,0.44468078765594665,10,0.05055068780655502,reference,10,fedprox_noniid,noniid_alpha=0.1,,0.06501500338579755,23.003154110908508,10,0.09088470781724341
0.5,0.02420951858199918,0.7234680267328015,10,0.03384257337748241,0.025239025060713762,0.5026258389868736,10,0.03528172419869691,0.01765669346701765,0.6821393272226685,10,0.024682355505638257,0.018858297909102154,0.17575947599150474,10,0.026362082690803763,0.05591739971200482,0.7032215069336683,10,0.07816713481608054,0.19764175814216928,0.4967304209796053,10,0.27628412682911985,0.045551299950940066,0.5148891110197075,10,0.06367632655758905,0.050698685476167384,0.045845415109814935,10,0.0708718753558713,0.05019903723405882,0.42007727730012123,10,0.07017341527541923,0.06640897103172538,0.048541417021772344,10,0.09283334021913786,0.0,3204000.0,10,0.0,3.055572509765625,default_credit_card_clients,0.028438444810415228,0.5071183890912341,10,0.0397542046108083,reference,10,fedprox_noniid,noniid_alpha=0.5,,0.10308073186120205,22.72901725769043,10,0.14409692700007598
0.1,0.03008418824154626,0.6756029885805211,10,0.04205479529128446,0.03672745767472113,0.4421565545002041,10,0.051341445601868235,0.025734616417884746,0.6432249042141269,10,0.03597451314505686,0.015265063175241804,0.2077017217875509,10,0.021339086891390992,0.057613775778818384,0.6303224085762222,10,0.08053850504066772,0.1293008999989129,0.4715846362596454,10,0.18075019464622383,0.09717756457316805,0.4910131327850188,10,0.1358448681485882,0.0,0.0,10,0.0,0.05140207648712532,0.3286348298158074,10,0.0718551481880335,0.0,0.0,10,0.0,0.0,3204000.0,10,0.0,3.055572509765625,default_credit_card_clients,0.03773831031360384,0.44489140268492344,10,0.05275452015307581,privacy_matched,10,full_ha_dp,noniid_alpha=0.1,3.0,0.36175635029311975,37.358565187454225,10,0.5057005073478891
0.5,0.01608174579575066,0.6828061878343272,10,0.02248073047331815,0.017728339166607158,0.4603036122810121,10,0.024782509287603244,0.015375252611185275,0.6583950014441055,10,0.02149312110147698,0.013661251438440955,0.1953150967654797,10,0.01909711267771507,0.04426309893307729,0.6616950210929129,10,0.06187554570668918,0.1532508643895023,0.4520175203628585,10,0.21422993628302264,0.04523217292128321,0.4933688897792791,10,0.0632302177313718,0.04509573348107277,0.041307419042879,10,0.06303948854560693,0.0445416921765464,0.3898897559943414,10,0.06226499220694237,0.06592673990960306,0.05512973984976468,10,0.09215922759355823,0.0,3204000.0,10,0.0,3.055572509765625,default_credit_card_clients,0.025531485292794982,0.4691893649295669,10,0.03569055541236522,privacy_matched,10,full_ha_dp,noniid_alpha=0.5,3.0,0.32022354016265164,36.706772041320804,10,0.4476416422096736
